video_hashid,time_in_extended_iso,body_score,face_score,hands_score,body_in_image,face_in_image,hands_in_image,threshold_used
00320003_2024-09-08_2_d355c33f2a,0:03:26,0.73,0.78,0.76,True,True,True,0.4
00320003_2024-09-08_3_84d074bc74,0:07:38,0.14,0.15,0.13,False,False,False,0.4
00320003_2024-09-08_3_84d074bc74,0:10:43,0.23,0.25,0.2,False,False,False,0.4
00320003_2024-09-15_1_92f0476246,0:08:19,0.95,1.02,0.99,True,True,True,0.4
00320003_2024-09-15_3_83b4480cc4,0:01:28,0.23,0.29,0.27,False,False,False,0.4
00320003_2024-09-15_3_83b4480cc4,0:12:50,0.61,0.82,0.78,True,True,True,0.4
00320003_2024-09-21_1_233fb3ab15,0:07:01,0.51,0.46,0.5,True,True,True,0.4
00320003_2024-09-21_3_56648d4d29,0:07:47,0.4,0.54,0.54,True,True,True,0.4
00320003_2024-09-22_1_3131d3f8cb,0:08:38,0.23,0.22,0.2,False,False,False,0.4
00320003_2024-10-13_1_1d4a762718,0:10:52,0.21,0.21,0.19,False,False,False,0.4
00320003_2024-11-02_4_22f0bc6a99,0:01:43,0.16,0.19,0.16,False,False,False,0.4
00320003_2024-11-09_2_05c09e013b,0:11:17,0.21,0.32,0.31,False,False,False,0.4
00320003_2024-11-09_3_d65a1c42c7,0:08:43,0.19,0.22,0.2,False,False,False,0.4
00320003_2024-11-17_1_309c11e35d,0:01:35,0.18,0.22,0.15,False,False,False,0.4
00320003_2024-11-23_3_f6beacf463,0:09:43,0.51,0.56,0.6,True,True,True,0.4
00320003_2024-11-23_3_fdae97f584,0:00:48,0.47,0.54,0.49,True,True,True,0.4
00320003_2024-11-30_2_4c2ae003b1,0:02:55,0.25,0.25,0.26,False,False,False,0.4
